Paper title,Paper link,Year of publishing,Number of citations,Keywords,Relevant for study,Duplicate,Reviewer,Applicable/Non Applicable,Reason for choosing/ not choosing the research paper
Octopus+: An RDMA-Enabled Distributed Persistent Memory File System,https://dl.acm.org/doi/abs/10.1145/3448418,2021,283,"""Optane"" ""Data+Structure""",Yes,,,,
{ROART}: Range-query optimized persistent {ART},https://www.usenix.org/conference/fast21/presentation/ma,2021,79,"""Optane"" ""Data+Structure""",Yes,,,,
LiveGraph: A transactional graph storage system with purely sequential adjacency list scans,https://arxiv.org/abs/1910.05773,2019,94,"""Optane"" ""Data+Structure""",Yes,,,,
HDNH: a read-efficient and write-optimized hashing scheme for hybrid DRAM-NVM memory,https://dl.acm.org/doi/abs/10.1145/3472456.3473515,2021,5,"""Optane"" ""Data+Structure""",Yes,,,,
Practical detectability for persistent lock-free data structures,https://arxiv.org/abs/2203.07621,2022,3,"""Optane"" ""Data+Structure""",Yes,,,,
Petra: Persistent transactional non-blocking linked data structures,https://dl.acm.org/doi/abs/10.1145/3446391,2021,5,"""Optane"" ""Data+Structure""",Yes,,,,
A LLM Checkpointing System of the Hybrid Memory Architecture,https://ieeexplore.ieee.org/abstract/document/10885366/,2024,0,"""Optane"" ""Data+Structure""",Yes,,,,
Opt Tree: Optane DCPM 내부 버퍼를 활용한 쓰기 최적화 트리,https://www.dbpia.co.kr/Journal/articleDetail?nodeId=NODE10583576,2021,0,"""Optane"" ""Data+Structure""",Yes,,,,
Persistent memory hash indexes: An experimental evaluation,https://dl.acm.org/doi/abs/10.14778/3446095.3446101,2021,55,"""Optane"" ""Data+Structure""",Yes,,,,
Enabling Efficient NVM-Based Text Analytics without Decompression,https://ieeexplore.ieee.org/abstract/document/10597868/,2024,1,"""Optane"" ""Data+Structure""",Yes,,,,
"Elimination (a, b)-trees with fast, durable updates",https://dl.acm.org/doi/abs/10.1145/3503221.3508441,2022,19,"""Optane"" ""Data+Structure""",Yes,,,,
Flatstore: An efficient log-structured key-value storage engine for persistent memory,https://dl.acm.org/doi/abs/10.1145/3373376.3378515,2020,195,"""Optane"" ""Data+Structure""",Yes,,,,
Benchmarking recoverable mutex locks,https://dl.acm.org/doi/abs/10.1145/3350755.3400269,2020,4,"""Optane"" ""Data+Structure""",Yes,,,,
Understanding the idiosyncrasies of real persistent memory,https://dl.acm.org/doi/abs/10.14778/3436905.3436921,2020,86,"""Optane"" ""Data+Structure""",Yes,,,,
A Scalable Recoverable Skip List for Persistent Memory on NUMA Machines,https://uwspace.uwaterloo.ca/handle/10012/17657,2021,0,"""Optane"" ""Data+Structure""",Yes,,,,
Early Experience of Utilizing Persistent Memory for Database Bulk Loading,http://157.82.157.21/new/uploads/publication_file/file/981/FAST_22_WiP_PM_for_Bulkload.pdf,,0,"""Optane"" ""Data+Structure""",No,,,,
Exploring performance characteristics of the optane 3d xpoint storage technology,https://dl.acm.org/doi/abs/10.1145/3372783,2020,48,"""Optane"" ""Data+Structure""",Yes,,,,
DGAP: Efficient Dynamic Graph Analysis on Persistent Memory,https://ui.adsabs.harvard.edu/abs/2024arXiv240302665A/abstract,2024,0,"""Optane"" ""Data+Structure""",Yes,,,,
TLBtree: A read/write-optimized tree index for non-volatile memory,https://ieeexplore.ieee.org/abstract/document/9458817/,2021,20,"""Optane"" ""Data+Structure""",Yes,,,,
Recoverable Software Combining,https://www.researchgate.net/profile/Nikolaos-Kallimanis/publication/360619869_Recoverable_Software_Combining/links/628214d1973bbb29cc82f6d0/Recoverable-Software-Combining.pdf,,0,"""Optane"" ""Data+Structure""",No,,,,
uTree: a persistent B+-tree with low tail latency,https://dl.acm.org/doi/abs/10.14778/3407790.3407850,2020,88,"""Optane"" ""Data+Structure""",Yes,,,,
Future-based persistent spatial data structure for nvm-based manycore machines,https://ieeexplore.ieee.org/abstract/document/9926053/,2022,2,"""Optane"" ""Data+Structure""",Yes,,,,
