Paper title,Paper link,Year of publishing,Number of citations,Keywords,Relevant for study,Duplicate,Reviewer,Applicable/Non Applicable,Reason for choosing/ not choosing the research paper
Asynchronous {I/O} stack: A low-latency kernel {I/O} stack for {Ultra-Low} latency {SSDs},https://www.usenix.org/conference/atc19/presentation/lee-gyusun,2019,112,"""Optane"" ""File+System""",Yes,,,,
NEHASH: high-concurrency extendible hashing for non-volatile memory,https://link.springer.com/article/10.1631/fitee.2200462,2023,1,"""Optane"" ""File+System""",Yes,,,,
CFFS: A Persistent Memory File System for Contiguous File Allocation With Fine-Grained Metadata,https://ieeexplore.ieee.org/abstract/document/9869672/,2022,2,"""Optane"" ""File+System""",Yes,,,,
An empirical guide to the behavior and use of scalable persistent memory,https://www.usenix.org/conference/fast20/presentation/yang,2020,569,"""Optane"" ""File+System""",Yes,,,,
GBTL+ Metall–Adding Persistence to GraphBLAS,http://nvmw.ucsd.edu/nvmw2021-program/nvmw2021-data/nvmw2021-paper61-final_version_your_extended_abstract.pdf,,0,"""Optane"" ""File+System""",No,,,,
UHS: An Ultra-fast Hybrid Storage Consolidating NVM and SSD in Parallel,https://ieeexplore.ieee.org/abstract/document/10137151/,2023,3,"""Optane"" ""File+System""",Yes,,,,
TLBtree: A read/write-optimized tree index for non-volatile memory,https://ieeexplore.ieee.org/abstract/document/9458817/,2021,20,"""Optane"" ""File+System""",Yes,,,,
Design and optimization of a distributed file system based on RDMA,https://www.mdpi.com/2076-3417/13/15/8670,2023,5,"""Optane"" ""File+System""",Yes,,,,
Assessment of the I/O and Storage Subsystem in Modular Supercomputing Architectures,https://ieeexplore.ieee.org/abstract/document/9912665/,2022,3,"""Optane"" ""File+System""",Yes,,,,
Characterizing the Performance of Intel Optane Persistent Memory,https://ranger.uta.edu/~sjiang/pubs/papers/xiang22-Pmem.pdf,2022,0,"""Optane"" ""File+System""",Yes,,,,
Everything Is a Punch Card,https://www.usenix.org/system/files/login/articles/login_fall20_15_garfinkel.pdf,,0,"""Optane"" ""File+System""",No,,,,
